Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-01-31 12:59AM","2017-01-31 8:10AM","403","28","0","431","N/A","N/A","N/A"
"2017-01-30 1:28AM","2017-01-30 9:59AM","465","46","2","511","N/A","N/A","N/A"
"2017-01-29 12:47AM","2017-01-29 8:35AM","432","36","3","468","N/A","N/A","N/A"
"2017-01-28 1:06AM","2017-01-28 9:52AM","499","27","1","526","N/A","N/A","N/A"
"2017-01-26 11:32PM","2017-01-27 7:55AM","474","29","2","503","N/A","N/A","N/A"
"2017-01-26 2:11AM","2017-01-26 7:29AM","298","20","2","318","N/A","N/A","N/A"
"2017-01-25 1:59AM","2017-01-25 6:43AM","268","16","1","284","N/A","N/A","N/A"
"2017-01-24 2:03AM","2017-01-24 7:39AM","315","21","1","336","N/A","N/A","N/A"
"2017-01-23 12:19AM","2017-01-23 9:11AM","465","51","4","531","N/A","N/A","N/A"
"2017-01-22 1:45AM","2017-01-22 11:31AM","521","65","0","586","N/A","N/A","N/A"
"2017-01-21 12:29AM","2017-01-21 10:03AM","550","23","0","573","N/A","N/A","N/A"
"2017-01-19 10:51PM","2017-01-20 8:19AM","542","26","1","568","N/A","N/A","N/A"
"2017-01-18 11:49PM","2017-01-19 8:06AM","472","25","1","497","N/A","N/A","N/A"
"2017-01-17 11:17PM","2017-01-18 6:53AM","433","22","1","455","N/A","N/A","N/A"
"2017-01-17 1:15AM","2017-01-17 8:01AM","379","26","2","405","N/A","N/A","N/A"
"2017-01-16 1:28AM","2017-01-16 12:00PM","583","49","1","632","N/A","N/A","N/A"
"2017-01-14 11:32PM","2017-01-15 8:08AM","479","36","4","515","N/A","N/A","N/A"
"2017-01-14 12:08AM","2017-01-14 7:57AM","448","20","1","468","N/A","N/A","N/A"
"2017-01-12 11:15PM","2017-01-13 8:00AM","493","31","3","525","N/A","N/A","N/A"
"2017-01-11 11:43PM","2017-01-12 8:08AM","479","26","0","505","N/A","N/A","N/A"
"2017-01-10 10:55PM","2017-01-11 6:03AM","392","36","3","428","N/A","N/A","N/A"
"2017-01-09 10:29PM","2017-01-10 7:51AM","548","14","1","562","N/A","N/A","N/A"
"2017-01-08 7:12PM","2017-01-09 12:52AM","333","7","2","340","N/A","N/A","N/A"
"2017-01-08 2:52AM","2017-01-08 1:10PM","579","38","1","618","N/A","N/A","N/A"
"2017-01-07 5:14AM","2017-01-07 10:42AM","291","23","0","328","N/A","N/A","N/A"
"2017-01-06 3:56PM","2017-01-06 10:03PM","364","3","0","367","N/A","N/A","N/A"
"2017-01-06 3:59AM","2017-01-06 9:10AM","279","31","2","310","N/A","N/A","N/A"
"2017-01-05 5:18AM","2017-01-05 12:39PM","419","22","1","441","N/A","N/A","N/A"
"2017-01-04 10:32PM","2017-01-05 3:15AM","279","4","0","283","N/A","N/A","N/A"
"2017-01-02 10:48PM","2017-01-03 4:39PM","981","90","1","1071","N/A","N/A","N/A"
"2017-01-02 3:55AM","2017-01-02 4:26PM","677","74","1","751","N/A","N/A","N/A"
"2017-01-01 12:34PM","2017-01-01 5:12PM","263","15","2","278","N/A","N/A","N/A"
"2017-01-01 3:35AM","2017-01-01 8:36AM","285","16","4","301","N/A","N/A","N/A"

